assumed_danger_states_new,Max_Success,Max_Best,Max_Exp,Home_Plate_Control,Woman_Adv,OD_MST_Ratio,All_OCR,O_Avg_Edge,D_Avg_Edge,ScoreProb_p1,ScoreProb_p2,ScoreProb_p3,ScoreProb_p4,ScoreProb_p5,ScoreProb_p6,Exp_p1,Exp_p2,Exp_p3,Exp_p4,Exp_p5,Exp_p6
0,0.274194766191676,0.0178041821461427,0.0296509144067819,-0.585296254314432,-2,1.956106441772719,0.6,25.42617433314653,12.99835928667772,0.288093453314031,0.0324680282364732,0,0,0,0,0,0,0,0,0,0.0272416698851746
0,0.51627863632983,0.0255079334352501,0.0319882925031919,-0.516093461707318,1,1.7195457106775511,0.75,24.210186055082183,14.079408244135983,0.368643601274942,0.228117479679815,0.155717343208622,0.0899682583608765,0.0343494912300389,0,0,0,0.0309987986626523,0.0307196320853846,0.0043056397294351,-0.0105016860326007
0,0.756784171076251,0.0199472326364554,0.0393694669159459,-0.386730332254283,1,2.005085038229947,0.75,25.24576470168792,12.590869823643205,0.328334306265997,0.282077479507895,0.132134639667362,0.0456046322350615,0.0308855037772071,0,0,0.0213236772209951,0,0.0109923842512226,0.038992656308169,0.0158385739896421
0,0.778118944726101,0.0286207049325292,0.0376448307354936,-0.407653525917565,1,1.4882522030454384,0.875,25.988657511863448,17.462535891888734,0.457011540237489,0.323233726410817,0.0957349821519946,0.0667967769421201,0.0210056615050484,0,0,0,0.037433173224965297,0.0285929752367793,-0.0143050918829219,-0.007601680915973
0,0.687612416876936,0.0490123375515099,0.111732310178933,-0.314419924752002,0,1.1895895889921553,0.7142857142857143,22.851883797594724,19.2098888633981,0.464813474603609,0.289686121397554,0.237725959911634,0.0829924848164702,0,0,0,0,0,-0.003617431022646,0.0940215405460101,-0.0192522218747635
1,0.37348291400518,0.0127942236336415,0.0315788541307019,-0.0274987334734988,-1,1.0143242333458466,0.8333333333333334,14.71725614967048,14.509419834251805,0.458405859075483,0.368779721163757,0.127672963578572,0,0,0,0,0,0,0.0112437207443661,0,0.0311970602679286
0,0.207905322344371,0.0230647127236043,0.0062819116499454,-0.624768587615212,-2,2.1390690257000484,0.8,26.69238972539158,12.478507895113866,0.405910545127164,0.0560180443151349,0,0,0,0,0,0,0,0,0,-0.0047585484912752
1,0.959620979399605,0.0239607791047112,0.0813357837171057,-0.522111290067875,0,2.588690551842717,0.7142857142857143,31.0771479866619,12.004968289678402,0.384743315451986,0.0982423293848325,0.0705000225707242,0.0479333266512159,0,0,0,0,0.0406140688743085,0.0681801658430978,0,-0.0059787356675482
0,0.937789019813342,0.0256598034479048,0.0661907030467634,-0.566246845399564,0,1.9896692313776023,0.5714285714285714,28.367976194416126,14.257634257516653,0.3959892332183,0.0839460491161234,0.0682421797576996,0.026555756271579,0,0,0,0,0.0259231396665563,0,0.0630134889645034,-0.036390166782822
0,0.933741810774664,0.0234785877753515,0.0643210693457756,-0.61361005417459,1,1.7708737662338,0.75,27.213980269984237,15.36754385822852,0.460508267510137,0.130395483657485,0.0925975676051514,0.0639367161665471,0.0610526151177569,0,0,0.053906050779482,0,0.0296744283105934,-0.0044044043524397,-0.0060188978650839
